Gain/Loss_nreal;Gain/Loss_real;USD;USD_net;time
0;0;94799;94799;0
-0.1652300000000947;0;94799;94798.83477;1
-0.22040000000012627;0;94799;94798.7796;2
-0.5171200000002348;0;94799;94798.48288;3
-0.6783200000002804;0;94799;94798.32168;4
-0.614969999999969;0;94799;94798.38503;5
-0.9224200000002724;0;94799;94798.07758;6
-0.9293500000002665;0;94799;94798.07065;7
-1.3542400000001973;0;94799;94797.64576;8
-1.5581800000000612;0;94799;94797.44182;9
-2.2132800000002932;0;94799;94796.78672;10
-2.5566899999998594;0;94799;94796.44331;11
-2.9082200000003295;0;94799;94796.09178;12
-2.765799999999509;0;94799;94796.2342;13
-2.672509999999976;0;94799;94796.32749;14
-2.36881000000004;0;94799;94796.63119;15
-2.8273800000002405;0;94799;94796.17262;16
-4.658410000000276;0;94799;94794.34159;17
-4.726010000000343;0;94799;94794.27399;18
-5.019740000000326;0;94799;94793.98026;19
-6.174019999999652;0;94799;94792.82598;20
-6.1485100000008535;0;94799;94792.85149;21
-6.675899999999414;0;94799;94792.3241;22
-7.440060000000688;0;94799;94791.55994;23
-7.864019999999231;0;94799;94791.13598;24
-10.876160000000173;0;94799;94788.12384;25
-10.07140999999979;0;94799;94788.92859;26
-7.290600000000676;0;94799;94791.70939999999;27
-10.416370000000413;0;94799;94788.58363;28
-9.9628100000008;0;94799;94789.03719;29
-13.320850000001332;0;94799;94785.67915;30
-14.170609999999103;0;94799;94784.82939;31
-12.339260000001381;0;94799;94786.66073999999;32
-9.481039999999393;0;94799;94789.51896;33
-8.730279999999272;0;94799;94790.26972;34
-8.258799999999844;0;94799;94790.7412;35
-7.21616999999998;0;94799;94791.78383;36
-7.439230000000775;0;94799;94791.56077;37
-7.619669999999784;0;94799;94791.38033;38
-7.301339999998507;0;94799;94791.69866;39
-8.129529999998919;0;94799;94790.87047;40
-7.424470000001413;0;94799;94791.57553;41
-7.942390000001162;0;94799;94791.05761;42
-8.639989999998823;0;94799;94790.36001;43
-8.142409999999673;0;94799;94790.85759;44
-7.613210000000305;0;94799;94791.38679;45
-10.408949999999134;0;94799;94788.59105;46
-13.175399999998437;0;94799;94785.8246;47
-11.421340000002186;0;94799;94787.57866;48
-13.648019999998272;0;94799;94785.35198;49
-18.626549999998577;0;94799;94780.37345;50
-21.325559999999292;0;94799;94777.67444;51
-22.093949999998507;0;94799;94776.90605;52
-28.34268000000057;0;94799;94770.65732;53
-30.246610000000757;0;94799;94768.75339;54
-22.2368200000021;0;94799;94776.76318;55
-23.561469999999467;0;94799;94775.43853;56
-20.011869999999323;0;94799;94778.98813;57
-23.79489999999915;0;94799;94775.2051;58
-28.636240000001496;0;94799;94770.36376;59
-31.54600000000211;0;94799;94767.454;60
-32.97058000000005;0;94799;94766.02942;61
-27.669370000000637;0;94799;94771.33063;62
-24.45547000000151;0;94799;94774.54453;63
-25.771360000000726;0;94799;94773.22864;64
-27.925990000000894;0;94799;94771.07401;65
-46.8790300000011;0;94799;94752.12097;66
-51.937149999999676;0;94799;94747.06285;67
-43.72635999999963;0;94799;94755.27364;68
-34.32363999999738;0;94799;94764.67636;69
-34.42711000000029;0;94799;94764.57289;70
-32.49229000000043;0;94799;94766.50771;71
-52.427469999999644;0;94799;94746.57253;72
-58.46893000000012;0;94799;94740.53107;73
-56.606930000001206;0;94799;94742.39307;74
-58.74025000000075;0;94799;94740.25975;75
-60.91628999999783;0;94799;94738.08371;76
